account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
propush-cpc,BD,monetizer,0.6501,3.8054,1718400,-3.1553,-82.92,242.1765,-5422.0074,USD,USD,USD
clickadu-pub-nsd,EG,monetizer,0.1314,8.5636,643454,-8.4322,-98.47,23.1986,-5425.7305,USD,USD,USD
onclicka-sv,EG,monetizer,0.1168,8.5636,643454,-8.4468,-98.64,9.7645,-5435.1129,USD,USD,USD
evadav-rss,JO,kadam,0.0500,0.6000,9888594,-0.5500,-91.67,0.1080,-5438.7267,USD,USD,USD
clickadilla-sv,TH,adsterra,0.5484,1.9057,4007138,-1.3573,-71.23,6.3819,-5439.0524,USD,USD,USD
sv,ET,inhouseads,0.4700,1.1550,7942524,-0.6850,-59.31,4.1000,-5440.6289,USD,USD,USD
propush-nsd,GR,inhouseads,0.4611,1.4700,5393091,-1.0089,-68.63,247.4321,-5441.2622,USD,USD,USD
sv,BY,kadam,0.0100,1.4000,3917499,-1.3900,-99.29,0.0300,-5445.3236,USD,USD,USD
sv,VN,inhouseads,0.2800,0.4200,38908960,-0.1400,-33.33,32.9100,-5447.2544,USD,USD,USD
clickadu-pub-nsd,TH,clickadu,0.8115,1.6501,6505760,-0.8386,-50.82,96.8654,-5455.7232,USD,USD,USD
evadav-sv,PT,inhouseads,0.0102,1.2600,4368088,-1.2498,-99.19,2.3070,-5459.3824,USD,USD,USD
propush-constructor,SY,inhouseads,0.1454,0.5250,14384594,-0.3796,-72.30,23.9069,-5460.3480,USD,USD,USD
propush-tb,GR,inhouseads,0.4572,1.4700,5393091,-1.0128,-68.90,215.6517,-5461.9647,USD,USD,USD
sv,MZ,inhouseads,0.8200,3.0450,2457863,-2.2250,-73.07,7.9000,-5468.7452,USD,USD,USD
propush-nsd,ET,inhouseads,0.4656,1.1550,7942524,-0.6894,-59.69,458.6973,-5475.5440,USD,USD,USD
evadav-rss,EG,monetizer,0.0426,8.5636,643454,-8.5210,-99.50,3.0490,-5482.8644,USD,USD,USD
evadav-rss,VE,kadam,0.0609,0.5000,12509000,-0.4391,-87.81,0.1070,-5492.2773,USD,USD,USD
propush-nsd,KR,kadam,0.4862,0.8000,17510423,-0.3138,-39.23,407.9825,-5495.4627,USD,USD,USD
evadav-sv,EG,monetizer,0.0213,8.5636,643454,-8.5423,-99.75,54.5540,-5496.5620,USD,USD,USD
sv,TW,clickadu,0.3600,2.8497,2208366,-2.4897,-87.37,15.4000,-5498.1026,USD,USD,USD
onclicka-sv,ZM,inhouseads,0.1989,2.1000,2892746,-1.9011,-90.53,0.3809,-5499.4097,USD,USD,USD
sv2,BR,adsterra,0.4200,1.1576,7465110,-0.7376,-63.72,851.1400,-5506.3025,USD,USD,USD
onclicka-sv,CH,kadam,0.2639,1.6000,4122202,-1.3361,-83.50,1.9556,-5507.4749,USD,USD,USD
evadav-sv,JO,inhouseads,0.0102,0.6300,8899734,-0.6198,-98.38,5.8810,-5516.0966,USD,USD,USD
evadav-sv,HK,clickadu,0.0506,2.2367,2524883,-2.1861,-97.74,57.6300,-5519.6992,USD,USD,USD
clickadilla-sv,VE,kadam,0.0580,0.5000,12509000,-0.4420,-88.39,0.1401,-5528.4710,USD,USD,USD
evadav-rss,PT,kadam,0.0608,1.2000,4853432,-1.1392,-94.94,0.0330,-5529.1584,USD,USD,USD
sv2,CA,clickadu,0.4400,2.1660,3206359,-1.7260,-79.69,76.7700,-5534.1660,USD,USD,USD
sv,KG,inhouseads,0.5600,2.3100,3163408,-1.7500,-75.76,24.4000,-5535.9640,USD,USD,USD
evadav-sv,CM,kadam,0.0517,1.5000,3824096,-1.4483,-96.56,0.9550,-5538.5457,USD,USD,USD
onclicka-sv,DE,adsterra,0.2266,2.1964,2813890,-1.9698,-89.68,24.6677,-5542.7946,USD,USD,USD
onclicka-sv,MY,galaksion,0.2376,1.0600,6743969,-0.8224,-77.59,0.8410,-5546.4222,USD,USD,USD
propush-constructor,GR,inhouseads,0.4411,1.4700,5393091,-1.0289,-70.00,7.4447,-5549.1515,USD,USD,USD
evadav-rss,HK,clickadu,0.0388,2.2367,2524883,-2.1979,-98.26,0.1710,-5549.4429,USD,USD,USD
propush-nsd,TJ,kadam,1.0537,2.7000,3376962,-1.6463,-60.97,38.6448,-5559.3623,USD,USD,USD
sv,ET,kadam,0.4700,1.1000,8825027,-0.6300,-57.27,4.1000,-5559.7670,USD,USD,USD
mybid-pub-sv,TW,clickadu,0.3302,2.8497,2208366,-2.5195,-88.41,47.6566,-5564.0010,USD,USD,USD
evadav-sv,MX,galaksion,0.0129,0.5400,10557288,-0.5271,-97.62,38.2250,-5565.1135,USD,USD,USD
onclicka-sv,VE,inhouseads,0.0306,0.5250,11258100,-0.4944,-94.17,0.0590,-5565.7153,USD,USD,USD
