account,country,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
nsd,BZ,0.0400,0.1000,8746,-0.0600,-60.00,0.0500,-0.5248,USD,USD,USD
evadav-sv,BB,0.0333,0.1000,7945,-0.0667,-66.70,0.0010,-0.5299,USD,USD,USD
sv,GM,0.0900,0.1300,13329,-0.0400,-30.77,0.3200,-0.5332,USD,USD,USD
sv,TL,0.0500,0.0900,13909,-0.0400,-44.44,0.2700,-0.5564,USD,USD,USD
evadav-sv,GP,0.1151,0.2200,5316,-0.1049,-47.68,0.0320,-0.5576,USD,USD,USD
evadav-sv,NE,0.0415,0.1000,9631,-0.0585,-58.50,0.0450,-0.5634,USD,USD,USD
nsd,LR,0.0200,0.1000,7182,-0.0800,-80.00,0.1400,-0.5746,USD,USD,USD
evadav-rss,MK,0.0613,0.0900,20246,-0.0287,-31.89,0.0350,-0.5811,USD,USD,USD
sv2,IS,0.1400,0.2100,8450,-0.0700,-33.33,0.6100,-0.5915,USD,USD,USD
evadav-sv,BZ,0.0322,0.1000,8746,-0.0678,-67.80,0.0100,-0.5930,USD,USD,USD
sv2,MV,0.0700,0.1100,15148,-0.0400,-36.36,0.6700,-0.6059,USD,USD,USD
sv2,MK,0.0600,0.0900,20246,-0.0300,-33.33,0.8800,-0.6074,USD,USD,USD
evadav-sv,RW,0.0761,0.1100,17994,-0.0339,-30.82,0.0490,-0.6100,USD,USD,USD
evadav-rss,TT,0.0575,0.0800,27989,-0.0225,-28.12,0.0390,-0.6298,USD,USD,USD
evadav-rss,CG,0.1670,0.1800,49827,-0.0130,-7.22,0.0840,-0.6478,USD,USD,USD
sv2,MG,0.0800,0.1300,13114,-0.0500,-38.46,2.2000,-0.6557,USD,USD,USD
evadav-rss,QA,0.1125,0.1200,89475,-0.0075,-6.25,0.7580,-0.6711,USD,USD,USD
evadav-rss,ME,0.0594,0.1100,13388,-0.0506,-46.00,0.0170,-0.6774,USD,USD,USD
evadav-rss,TL,0.0412,0.0900,13909,-0.0488,-54.22,0.0830,-0.6788,USD,USD,USD
evadav-rss,IS,0.1282,0.2100,8450,-0.0818,-38.95,0.0150,-0.6912,USD,USD,USD
nsd,NI,0.0600,0.0700,69180,-0.0100,-14.29,0.3300,-0.6918,USD,USD,USD
